,mpm,code,state,ratio,final_ctc
0,IPPS,001,AL,4.27,4.27
1,IPPS,001,AK,4.39,4.39
2,IPPS,001,AZ,3.47,3.4700000000000006
3,IPPS,001,AR,3.89,3.8900000000000006
4,IPPS,001,CA,5.56,5.559999999999999
5,IPPS,001,CO,4.9,4.9
6,IPPS,001,CT,3.37,3.37
7,IPPS,001,DE,3.5,3.5
8,IPPS,001,DC,3.55,3.5500000000000007
9,IPPS,001,FL,5.53,5.53
10,IPPS,001,GA,4.38,4.38
11,IPPS,001,HI,3.38,3.38
12,IPPS,001,ID,3.99,3.99
13,IPPS,001,IL,3.86,3.8599999999999994
14,IPPS,001,IN,5.04,5.039999999999999
15,IPPS,001,IA,4.99,4.990000000000001
16,IPPS,001,KS,5.73,5.73
17,IPPS,001,KY,4.46,4.459999999999999
18,IPPS,001,LA,3.61,3.6099999999999994
19,IPPS,001,ME,3.45,3.45
20,IPPS,001,MD,1.12,1.12
21,IPPS,001,MA,3.31,3.3100000000000005
22,IPPS,001,MI,3.16,3.16
23,IPPS,001,MN,3.42,3.42
24,IPPS,001,MS,4.11,4.11
25,IPPS,001,MO,4.2,4.2
26,IPPS,001,MT,3.28,3.2799999999999994
27,IPPS,001,AE,4.6,4.6
28,IPPS,001,AP,4.6,4.6
29,IPPS,001,VI,4.6,4.6
30,IPPS,001,NE,3.77,3.7699999999999996
31,IPPS,001,NV,5.25,5.250000000000001
32,IPPS,001,NH,3.83,3.83
33,IPPS,001,NJ,4.72,4.719999999999999
34,IPPS,001,NM,3.91,3.91
35,IPPS,001,NY,4.75,4.75
36,IPPS,001,NC,3.32,3.3200000000000003
37,IPPS,001,ND,3.4,3.4000000000000004
38,IPPS,001,OH,3.96,3.96
39,IPPS,001,OK,6.23,6.23
40,IPPS,001,OR,2.69,2.6899999999999995
41,IPPS,001,PA,6.23,6.23
42,IPPS,001,PR,3.81,3.8100000000000005
43,IPPS,001,RI,3.14,3.1400000000000006
44,IPPS,001,SC,3.74,3.74
45,IPPS,001,SD,3.93,3.9299999999999997
46,IPPS,001,TN,5.45,5.45
47,IPPS,001,TX,5.45,5.45
48,IPPS,001,UT,2.96,2.9600000000000004
49,IPPS,001,VT,3.93,3.9299999999999997
50,IPPS,001,VA,3.81,3.8100000000000005
51,IPPS,001,WA,3.71,3.71
52,IPPS,001,WV,3.81,3.8100000000000005
53,IPPS,001,WI,4.15,4.15
54,IPPS,001,WY,3.21,3.21
55,IPPS,002,AL,4.54,4.539999999999999
56,IPPS,002,AK,4.66,4.66
57,IPPS,002,AZ,4.67,4.670000000000001
58,IPPS,002,AR,4.01,4.01
59,IPPS,002,CA,4.99,4.990000000000001
60,IPPS,002,CO,5.21,5.21
61,IPPS,002,CT,3.76,3.76
62,IPPS,002,DE,3.67,3.67
63,IPPS,002,DC,4.23,4.23
64,IPPS,002,FL,5.29,5.29
65,IPPS,002,GA,4.45,4.45
66,IPPS,002,HI,3.55,3.5500000000000007
67,IPPS,002,ID,4.21,4.21
68,IPPS,002,IL,4.13,4.130000000000001
69,IPPS,002,IN,4.39,4.39
70,IPPS,002,IA,4.08,4.080000000000001
71,IPPS,002,KS,4.8,4.8
72,IPPS,002,KY,4.36,4.360000000000001
73,IPPS,002,LA,4.36,4.360000000000001
74,IPPS,002,ME,3.62,3.62
75,IPPS,002,MD,1.76,1.7599999999999993
76,IPPS,002,MA,3.16,3.16
77,IPPS,002,MI,3.76,3.76
78,IPPS,002,MN,3.66,3.660000000000001
79,IPPS,002,MS,4.35,4.35
80,IPPS,002,MO,4.31,4.31
81,IPPS,002,MT,3.44,3.4399999999999995
